Accel_x,Accel_y,Accel_z
0.889,-0.551,0.544
0.816,-0.488,0.54
0.777,-0.452,0.544
0.759,-0.441,0.537
0.72,-0.425,0.526
0.671,-0.415,0.501
0.648,-0.416,0.492
0.612,-0.427,0.497
0.605,-0.447,0.507
0.583,-0.452,0.515
0.575,-0.464,0.517
0.574,-0.478,0.542
0.568,-0.481,0.57
0.564,-0.46,0.591
0.558,-0.405,0.635
0.539,-0.366,0.673
0.496,-0.278,0.689
0.473,-0.22,0.715
0.426,-0.178,0.734
0.343,-0.107,0.711
0.286,-0.073,0.609
0.267,-0.058,0.649
0.299,-0.029,0.694
0.304,-0.025,0.703
0.263,-0.021,0.626
0.198,0,0.592
0.183,0.033,0.595
0.2,0.045,0.627
0.223,0.043,0.66
0.23,0.038,0.661
0.224,0.042,0.655
0.244,0.041,0.691
0.271,0.05,0.733
0.318,0.046,0.763
0.333,0.247,0.813
0.188,0.399,0.751
0.224,0.269,0.724
0.308,0.191,0.811
0.342,0.236,0.834
0.28,0.398,0.822
0.235,0.462,0.803
0.241,0.455,0.8
1.078,-1.103,0.369
0.982,-0.691,0.103
0.722,-0.825,0.198
0.858,-0.899,0.254
0.797,-0.957,0.211
0.799,-1.058,0.49
1.055,-1.147,0.617
0.906,-1.19,0.365
0.95,-1.397,0.31
1.09,-1.418,0.651
1.418,-1.486,0.879
