Accel_x,Accel_y,Accel_z
-0.068,-0.28,1.113
-0.07,-0.244,1.109
-0.08,-0.23,1.098
-0.098,-0.207,1.09
-0.081,-0.184,1.075
-0.036,-0.179,1.076
-0.037,-0.194,1.065
-0.003,-0.212,1.076
-0.019,-0.223,1.099
-0.041,-0.235,1.092
-0.027,-0.268,1.078
-0.041,-0.236,1.033
-0.04,-0.214,1.045
0.001,-0.21,1.044
0.032,-0.139,1.07
0.039,-0.061,1.141
-0.03,-0.056,1.061
-0.038,-0.081,1.023
-0.041,-0.023,0.897
-0.056,0.004,0.968
0.105,0.022,1.075
0.059,0.075,1.043
0.077,0.059,1.026
0.125,0.023,1.009
0.245,0.055,0.988
0.149,0.055,0.967
-0.047,0.051,0.925
0.088,0.063,0.983
0.165,0.1,1.029
0.671,-0.488,1.225
0.293,-0.145,0.898
0.195,0.069,0.82
0.13,0.027,0.846
0.245,0.064,0.836
0.299,0.198,0.788
0.326,0.387,0.72
0.319,0.449,0.672
0.225,0.428,0.591
0.15,0.462,0.62
0.156,0.537,0.686
0.19,0.531,0.705
0.238,0.46,0.691
0.271,0.408,0.687
0.348,0.396,0.671
0.43,0.389,0.65
0.447,0.416,0.656
0.44,0.443,0.678
0.438,0.49,0.674
0.441,0.536,0.692
0.438,0.557,0.662
0.418,0.646,0.651
0.395,0.683,0.618
0.352,0.703,0.616
0.34,0.69,0.587
0.34,0.628,0.534
0.309,0.61,0.536
0.422,0.582,0.521
0.432,0.643,0.523
0.42,0.69,0.526
0.43,0.681,0.5
0.379,0.673,0.478
0.43,0.631,0.457
0.47,0.627,0.431
0.401,0.665,0.422
0.418,0.676,0.375
0.444,0.677,0.324
0.496,0.708,0.303
0.464,0.763,0.263
0.479,0.731,0.23
0.567,0.687,0.213
0.59,0.681,0.186
0.579,0.682,0.163
0.559,0.675,0.144
0.499,0.668,0.102
0.475,0.628,0.048
0.434,0.601,0.033
0.444,0.551,0.009
0.4,0.544,-0.005
0.445,0.474,-0.032
0.455,0.474,-0.067
0.413,0.496,-0.093
0.205,0.609,-0.102
0.432,0.487,-0.157
0.534,0.489,-0.179
